NCIC_Uniform_Offense_Classifications ,ucr_ncic_code,nibrs_Code
SOVEREIGNTY,,
Treason ,101,
Treason Misprison ,102,
Espionage ,103,
Sabotage ,104,
Sedition ,105,
Selective Service ,106,
Sovereignty ,199,
MILITARY (Use restricted to FBI and Military Agencies),,
Military Desertion ,201,
Military ,299,
IMMIGRATION,,
Illegal Entry ,301,
False Citizenship ,302,
Smuggling Aliens ,303,
Immigration ,399,
HOMICIDE,,
Homicide - Willful Kill-Family-Gun ,901,09A
Homicide - Willful Kill-Family-Weapon (identify weapon in MIS Field) ,902,09A
Homicide - Willful Kill-Nonfamily-Gun ,903,09A
Homicide - Willful Kill-Nonfamily-Weapon (identify weapon in MIS Field) ,904,09A
Homicide - Willful Kill-Pub Off-Gun ,905,09A
Homicide - Willful Kill-Pub Off-Weapon (identify weapon in MIS Field) ,906,09A
Homicide - Willful Kill-Pol Off-Gun ,907,09A
Homicide - Willful Kill-Pol Off-Weapon (identify weapon in MIS Field) ,908,09A
Homicide - Neglig Mansl-Veh ,909,
Homicide - Neglig Mansl-Weapon (identify weapon in MIS Field) ,910,09B
Homicide - Willful Kill-Gun ,911,09A
Homicide - Willful Kill-Weapon (identify weapon in MIS Field) ,912,09A
Homicide - John or Jane Doe - No Warrant ,913,
Homicide (Use the MIS Field to further describe offense) ,999,
KIDNAPING,,
Kidnap Minor For Ransom ,1001,100
Kidnap Adult For Ransom ,1002,100
Kidnap Minor To Sexually Asslt ,1003,100
Kidnap Adult To Sexually Asslt ,1004,100
Kidnap Minor ,1005,100
Kidnap Adult ,1006,100
Kidnap Hostage For Escape ,1007,100
Abduct - No Ransom or Asslt ,1008,100
Kidnap - Hijack Aircraft ,1009,100
Kidnaping (Use the MIS Field to further describe offense) ,1099,100
SEXUAL ASSAULT,,
Rape - Gun ,1101,11A
Rape With Weapon (identify weapon in MIS Field) ,1102,11A
Rape - Strongarm ,1103,11A
Sex Asslt - Sodomy-Boy-Gun ,1104,11B
Sex Asslt - Sodomy-Man-Gun ,1105,11B
Sex Asslt - Sodomy-Girl-Gun ,1106,11B
Sex Asslt - Sodomy-Woman-Gun ,1107,11B
Sex Asslt- Sodomy-Boy-weapon (identify weapon in MIS Field) ,1108,11B
Sex Asslt- Sodomy-Man-weapon (identify weapon in MIS Field) ,1109,11B
Sex Asslt - Sodomy-Girl-Weapon (identify weapon in MIS Field) ,1110,11B
Sex Asslt - Sodomy-Woman-Weapon (identify weapon in MIS Field) ,1111,11B
Sex Asslt - Sodomy-Boy-Stgarm ,1112,11B
Sex Asslt - Sodomy-Man-Stgarm ,1113,11B
Sex Asslt - Sodomy-Girl-Stgarm ,1114,11B
Sex Asslt - Sodomy-Woman-Stgarm ,1115,11B
Stat Rape - No Force ,1116,36B
